Temp,Turbidity (cm),DO(mg/L),BOD (mg/L),CO2,pH`,Alkalinity (mg L-1 ),Hardness (mg L-1 ),Calcium (mg L-1 ),Ammonia (mg L-1 ),Nitrite (mg L-1 ),Phosphorus (mg L-1 ),H2S (mg L-1 ),Plankton (No. L-1),Water Quality
74.83,82.16,1.251,13.567,10.504,12.483,251.495,8.270,5.629,0.772,3.722,3.038,0.070,6245,2
3.76,1.34,8.427,8.481,13.856,2.192,261.880,13.697,378.001,0.424,3.403,0.005,0.044,1324,2
78.97,1.65,0.945,6.369,13.905,11.675,262.623,14.078,0.113,0.476,2.175,0.006,0.071,734,2
64.00,12.32,14.799,10.036,10.166,4.876,253.364,14.081,8.309,0.267,2.327,0.003,0.048,1231,2
4.97,81.75,2.161,14.753,12.017,4.955,289.612,397.663,7.203,0.810,2.236,0.004,0.027,645,2
6.43,84.36,9.609,12.451,10.979,9.963,237.999,8.093,5.464,0.919,3.114,0.000,0.063,7148,2
10.09,90.29,2.628,10.424,12.983,4.970,236.756,363.191,2.477,0.727,3.925,0.009,0.072,6665,2
63.78,8.54,11.642,10.902,13.281,3.577,211.411,7.810,5.835,0.992,3.939,0.006,0.050,6989,2
31.31,19.50,5.6286,4.6689,1.3163,9.4828,119.5521,232.3462,133.7105,0.0487,0.8946,0.0136,0.0136,4543,1
31.26,19.05,5.1724,2.7121,9.3217,6.2400,172.2961,46.2165,188.2098,0.0426,0.1080,2.6546,0.0118,5870,1
34.31,22.15,6.6516,2.7561,8.3131,9.2643,49.8339,42.7661,219.7542,0.0415,1.6990,0.0145,0.0145,4558,1
18.99,29.85,6.5012,5.6230,8.7498,9.1791,167.4238,162.0241,17.6949,0.0276,0.4403,2.3835,0.0173,2063,1
34.58,15.91,6.4216,2.3493,0.0143,6.0130,44.3542,71.5445,15.2585,0.0283,1.3939,2.5117,0.0077,5888,1
17.93,16.56,6.3886,4.5893,3.2720,9.1868,48.6599,236.7659,20.9114,0.0315,1.5689,0.0206,0.0175,2938,1
33.44,19.79,7.4589,5.1714,3.2365,6.0186,131.1018,54.5657,198.0841,0.0458,1.3956,2.1698,0.0103,2611,1
31.54,26.37,5.5179,5.2628,1.9415,6.4408,48.8411,27.4594,14.1129,0.0357,1.4782,2.5006,0.0039,4680,1
32.08,24.80,7.6014,3.5943,9.1173,6.0659,38.9458,21.8899,14.0250,0.0375,0.3229,2.4031,0.0027,2542,1
16.25,21.12,6.6177,5.2311,4.1185,6.3228,25.8853,233.2164,12.4823,0.0297,0.4690,0.0203,0.0056,2889,1
21.92,65.53,3.75,1.61,5.15,6.71,70.31,80.05,61.84,0.011,0.020,1.918,0.0198,3252,0
21.95,64.52,3.48,1.75,7.49,7.60,30.44,134.78,29.36,0.016,0.015,0.341,0.0193,4471,0
21.50,66.30,4.34,1.67,7.76,6.50,71.67,128.34,98.76,0.006,0.003,1.440,0.0197,4019,0
28.55,52.05,3.07,1.73,5.26,8.20,46.66,101.76,30.44,0.002,0.013,0.493,0.0191,3092,0
29.31,46.43,3.77,1.36,7.78,8.44,27.92,105.73,54.58,0.009,0.009,1.628,0.0198,3713,0
27.80,57.36,4.57,1.90,7.66,8.78,57.61,79.95,80.57,0.003,0.014,1.575,0.0190,3105,0
21.58,72.92,3.69,1.97,5.73,7.39,37.42,137.76,77.11,0.012,0.014,1.493,0.0195,3580,0
27.29,75.72,4.13,1.01,6.20,7.86,40.85,97.27,25.89,0.002,0.003,1.493,0.0192,3937,0
21.94,61.30,3.64,1.55,5.31,8.13,75.62,142.27,65.84,0.018,0.010,0.200,0.0197,4349,0
24.58,55.86,4.99,1.71,7.87,6.94,74.40,97.99,54.94,0.009,0.011,0.630,0.0199,4171,0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
